id,Primary_Vocation,Acres,Percentage_Field_Crops,Percentage_Vegetable_Crops,Percentage_Tree_and_Vine_Crops,Percentage_Other,County,Alfalfa_Rank,Rice_Rank,Wheat_Rank,Triticale_Rank,Barley_Rank,Oats_Rank,Cotton_Rank,Corn_Rank,Corn_Silage_Rank,Small_Grain_Silage_Rank,Small_Grain_Hay_Rank,Grass_and_Grass_Mixtures_Hay_Rank,Sorghum_Sudangrass_Sudan_Rank,Dry_Beans_Rank,Mixed_Hay_Rank,Sunflower_Rank,Oilseeds_Rank,Sugar_Beets_Rank,Hemp_Rank,Other_Rank,Grass_and_Grass_Mixtures_Pasture_Rank,Wild_Rice_Rank,Concern_Commondity_Price_of_Crops,Concern_Market_Access,Concern_Consumer_Demand,Concern_Input_Costs,Concern_Water_Costs,Concern_Land_Tenure,Concern_Water_Quality_and_Availability,Concern_Labor_Quality_and_Availability,Concern_Water_Regulations_Quantity,Concern_Water_Regulations_Quality,Concern_Labor_Regulations,Concern_Chemical_Regulations,Concern_Air_Quality,Concern_Changing_Weather_and_Climate,Concern_Soil_Degradation,Concern_Other,Alfalfa_Concerns,Cotton_Concerns,Rice_Concerns,Wild_Rice_Concerns,Wheat_Concerns,Triticale_Concerns,Barley_Concerns,Oats_Concerns,Corn_Concerns,Sorghum_Concerns,Corn_Silage_Concerns,Small_Grain_Silage_Concerns,Small_Grain_Hay_Concerns,Grass_and_Grass_Mixtures_Hay_Concerns,Grass_and_Grass_Mixtures_Pasture_Concerns,Sorghum_Sudangrass_Sudan_Concerns,Mixed_Hay_Concerns,Dry_Beans_Concerns,Sunflower_Concerns,Oilseeds_Concerns,Sugar_Beets_Concerns,Hemp_Concerns,Other_Concerns,Alfalfa_Reasons,Cotton_Reasons,Rice_Reasons,Wild_Rice_Reasons,Wheat_Reasons,Triticale_Reasons,Barley_Reasons,Oats_Reasons,Corn_Reasons,Sorghum_Reasons,Corn_Silage_Reasons,Small_Grain_Silage_Reasons,Small_Grain_Hay_Reasons,Grass_and_Grass_Mixtures_Hay_Reasons,Grass_and_Grass_Mixtures_Pasture_Reasons,Sorghum_Sudangrass_Sudan_Reasons,Mixed_Hay_Reasons,Dry_Beans_Reasons,Sunflower_Reasons,Oilseeds_Reasons,Sugar_Beets_Reasons,Hemp_Reasons,Other_Reasons,Affected_Crop_Production_Profitability,Affected_Crop_Production_Crop_Yield,Affected_Crop_Production_Crop_Quality,Affected_Crop_Production_Input_Costs,Affected_Crop_Production_Soil_Fertility,Affected_Crop_Production_Land_Stewardship,Affected_Crop_Production_Natural_Resource_Conservation,Affected_Crop_Production_Meeting_Government_Regulations,Affected_Crop_Production_Labor_Required,Affected_Crop_Production_Ease_of_Implementation,Affected_Crop_Production_Certainty_in_Management_Practice,Affected_Crop_Production_Availability_of_Outreach_Information,Affected_Crop_Production_Water_Availability,Affected_Crop_Production_Other,Information_Sources,UCCE_Engagement_Attend_Field_Day,UCCE_Engagement_Read_Blog,UCCE_Engagement_Call_Advisor,UCCE_Engagement_Read_Newsletter,UCCE_Engagement_Interact_with_Social_Media,Amount_Valued_Continuing_Education_Credits,Amount_Valued_On_Farm_Consultations,Amount_Valued_Crop_Injury_Diagnosis,Amount_Valued_On_Farm_Trials,Priority_Irrigation_Management,Priority_Water_Conservation_and_Storage,Priority_Nutrient_Management,Priority_Salinity_Management,Priority_Soil_Health_Management,Priority_Cover_Crops,Priority_Weed_Control,Priority_Insect_Pest_Control,Priority_Disease_Control,Priority_Manure_Management,Priority_Compost_Management,Priority_Crop_Establishment,Priority_Variety_Testing,Priority_Harvest_and_Postharvest,Priority_Emerging_Crops,Priority_Testing_New_Products,Priority_Niche_Marketing_Field_Crops,Priority_Greenhouse_Gas_Emissions_Reduction,Priority_Organic_Production,Priority_Other,Satisfaction_Irrigation_Management,Satisfaction_Water_Conservation_and_Storage,Satisfaction_Nutrient_Management,Satisfaction_Salinity_Management,Satisfaction_Soil_Health_Management,Satisfaction_Cover_Crops,Satisfaction_Weed_Control,Satisfaction_Insect_Pest_Control,Satisfaction_Disease_Control,Satisfaction_Manure_Management,Satisfaction_Compost_Management,Satisfaction_Crop_Establishment,Satisfaction_Variety_Testing,Satisfaction_Harvest_and_Postharvest,Satisfaction_Emerging_Crops,Satisfaction_Testing_New_Products,Satisfaction_Niche_Marketing_Field_Crops,Satisfaction_Greenhouse_Gas_Emissions_Reduction,Satisfaction_Organic_Production,Satisfaction_Other,UCCE_Information_Types_Requested,UCCE_Information_Preferred_Contact,Internet_Information_Sources,Total_Years_in_Crop_Production,Years_On_Current_Farm,Percentage_Income_Agriculture,Percentage_of_Total_Irrigated_Acres,Percentage_of_Acres_Leased,Percentage_of_Acres_Owned,Proposed_Ideas,Age_Range,Gender,Race_Ethnicity,Gift_Card,Crops
1,Grower,2400,20,63,17,0,Alameda,,,,,3,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Barley, Cotton, Wild Rice"
2,Grower,500,61,30,9,0,Alpine,,1,,,2,,,,,,,,,,,,,,,,,,Somewhat concerned,Very concerned,Very concerned,Very concerned,Somewhat concerned,Very concerned,Very concerned,Very concerned,Somewhat concerned,Very concerned,Somewhat concerned,Very concerned,Very concerned,Very concerned,Somewhat concerned,,,,"Nutrient Management,Disease Control,Insect Pest Control,Labor",,,,"Irrigation/Water Management,Disease Control,Weed Control,Insect Pest Control,Soil Management,Harvest Operations",,,"Nutrient Management,Soil Management,Labor",,,,,,,,,,,,,,,,"Profitability,Stable Markets,Capacity for deficit irrigation or fallowing,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Soil is not suitable for other crops,Supports wildlife habitat,Crop is traditionally grown on my farm",,,,"Stable Markets,Crop Rotation Benefits,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Soil is not suitable for other crops,Suitability for saline/alkaline soils,Crop is traditionally grown on my farm",,,"Profitability,Capacity for deficit irrigation or fallowing,Supports wildlife habitat",,,,,,,,,,,,,,Often,Often,Always,Always,Sometimes,Sometimes,Often,Often,Always,Often,Often,Always,Often,,"Industry,Other Growers,Pesticide Control Advisor,UC Cooperative Extension",1-3 times/week,1-2 times/month,1-3 times/week,1-2 times/month,1-2 times/month,Somewhat Valuable,Very Valuable,Very Valuable,Somewhat Valuable,Medium Priority,High Priority,Medium Priority,High Priority,Medium Priority,High Priority,Medium Priority,High Priority,High Priority,Medium Priority,High Priority,High Priority,Medium Priority,High Priority,High Priority,Medium Priority,High Priority,High Priority,Medium Priority,,Medium Satisfaction,High Satisfaction,High Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,High Satisfaction,,"Recommendations on how to manage,Cost of Production Information,Field Trial Results","Internet (websites),Newsletters,Personal contact (phone, email, on-farm consultation),Social Media,""California Agriculture"" Journal","University of California Cooperative Extension websites,UC Blogs,Facebook",3-9 years,10-19 years,82,55,54,65,,45 - 54 years,Male,White or Caucasian,Yes,"Rice, Barley"
3,Grower,1200,66,31,3,0,Amador,,,,,2,,,,,3,,,,,,,,,,,,1,Somewhat concerned,Very concerned,Somewhat concerned,Somewhat concerned,Very concerned,Very concerned,Somewhat concerned,Somewhat concerned,,Very concerned,Somewhat concerned,Very concerned,Very concerned,Very concerned,Somewhat concerned,Not  concerned,,,,"Nutrient Management,Disease Control,Weed Control,Insect Pest Control,Soil Management,Harvest Operations,Labor",,,"Nutrient Management,Disease Control,Insect Pest Control,Labor",,,,,"Irrigation/Water Management,Nutrient Management,Weed Control,Insect Pest Control,Soil Management",,,,,,,,,,,,,,,"Profitability,Crop Rotation Benefits,Capacity for deficit irrigation or fallowing,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Soil is not suitable for other crops",,,"Profitability,Crop Rotation Benefits,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Soil is not suitable for other crops,Suitability for saline/alkaline soils,Other",,,,,"Profitability,Stable Markets,Suitability for saline/alkaline soils,Supports wildlife habitat,Crop is traditionally grown on my farm,Other",,,,,,,,,,,,Often,Always,Always,Sometimes,Sometimes,Always,Always,Always,,Always,Sometimes,Always,Always,Never,"Pesticide Control Advisor,UC Cooperative Extension,State or County Farm Bureau,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)",1-2 times/month,3-6 times per year,1-3 times/week,1-3 times/week,3-6 times per year,Very Valuable,Very Valuable,Somewhat Valuable,Somewhat Valuable,Medium Priority,Medium Priority,Medium Priority,Low Priority,High Priority,High Priority,Medium Priority,Medium Priority,High Priority,High Priority,Low Priority,Medium Priority,Medium Priority,High Priority,Medium Priority,High Priority,High Priority,Medium Priority,Medium Priority,No Opinion,Medium Satisfaction,High Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,High Satisfaction,Low Satisfaction,Medium Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,Low Satisfaction,Medium Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,Medium Satisfaction,No Opinion,"Recommendations on how to manage,Cost of Production Information,Farm Economics,Field Trial Results","Blogs,Webinars,Social Media,Interactive Web Tools","University of California Cooperative Extension websites,Commodity Board websites",10-19 years,3-9 years,80,63,44,73,,45 - 54 years,Female,White or Caucasian,Yes,"Barley, Small Grain Silage, Wild Rice"
4,Grower,900,62,27,11,0,Amador,,,,1,,,,,,2,,,,,3,,,,,,,,Somewhat concerned,Very concerned,Very concerned,Somewhat concerned,Somewhat concerned,Very concerned,Somewhat concerned,Very concerned,Somewhat concerned,Somewhat concerned,Very concerned,Very concerned,Very concerned,Somewhat concerned,Very concerned,,,,,,,"Irrigation/Water Management,Disease Control,Insect Pest Control,Soil Management,Labor",,,,,,"Irrigation/Water Management,Nutrient Management,Disease Control,Weed Control,Soil Management,Harvest Operations",,,,,"Irrigation/Water Management,Nutrient Management,Insect Pest Control,Soil Management,Labor",,,,,,,,,,,,"Stable Markets,Capacity for deficit irrigation or fallowing,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Suitability for saline/alkaline soils,Supports wildlife habitat,Crop is traditionally grown on my farm",,,,,,"Profitability,Crop Rotation Benefits,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Soil is not suitable for other crops,Suitability for saline/alkaline soils,Crop is traditionally grown on my farm",,,,,"Stable Markets,Capacity for deficit irrigation or fallowing,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Soil is not suitable for other crops,Supports wildlife habitat",,,,,,,Often,Often,Always,Always,Sometimes,Often,Often,Sometimes,Always,Often,Always,Often,Often,,"Commodity Boards,Pesticide Control Advisor,Certified Crop Advisor,State or County Farm Bureau,Family members,Field crew",1-2 times/month,1-3 times/week,1-3 times/week,1-2 times/month,1-2 times/month,Somewhat Valuable,Very Valuable,Somewhat Valuable,Very Valuable,Medium Priority,High Priority,High Priority,Medium Priority,Medium Priority,High Priority,Medium Priority,High Priority,Low Priority,Medium Priority,High Priority,Medium Priority,High Priority,Medium Priority,Medium Priority,High Priority,High Priority,Medium Priority,High Priority,,Medium Satisfaction,High Satisfaction,High Satisfaction,Medium Satisfaction,High Satisfaction,Low Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,High Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,,"Recommendations on how to manage,Cost of Production Information,Field Trial Results","Blogs,Webinars,UC Cooperative Extension Magazine Articles,Social Media,Interactive Web Tools,Demonstration Videos","University of California Cooperative Extension websites,UC Blogs,Facebook,Twitter",10-19 years,3-9 years,63,64,23,45,NA,35 - 44 years,Female,White or Caucasian,Yes,"Triticale, Small Grain Silage, Mixed Hay"
5,Grower,42,51,32,17,0,San Joaquin,,1,,,2,3,,,,,,,,,,,,,,,,,Somewhat concerned,Very concerned,Somewhat concerned,Very concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Very concerned,Somewhat concerned,Somewhat concerned,Very concerned,Somewhat concerned,Very concerned,Very concerned,Somewhat concerned,,,,"Nutrient Management,Disease Control,Labor",,,,"Irrigation/Water Management,Weed Control,Labor","Insect Pest Control,Other:",,,,,,,,,,,,,,,,,,"Crop Rotation Benefits,Suitability for saline/alkaline soils",,,,"Profitability,Stable Markets,Capacity for deficit irrigation or fallowing,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Soil is not suitable for other crops,Supports wildlife habitat,Crop is traditionally grown on my farm",,,,,,,,,,,,,,,,,Sometimes,Often,Often,Sometimes,Often,Sometimes,Always,Often,Sometimes,Often,Often,Sometimes,Sometimes,,"Other Growers,Certified Crop Advisor",1-2 times/year,3-6 times per year,3-6 times per year,1-2 times/year,1-2 times/year,Somewhat Valuable,Not Valuable,Not Valuable,Somewhat Valuable,Medium Priority,High Priority,Low Priority,Medium Priority,Medium Priority,High Priority,Medium Priority,Medium Priority,Low Priority,Medium Priority,Low Priority,High Priority,Medium Priority,Medium Priority,Medium Priority,Medium Priority,Low Priority,High Priority,Medium Priority,,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,,"Cost of Production Information,Field Trial Results","Blogs,Newsletters,Interactive Web Tools","University of California Cooperative Extension websites,Commodity Board websites",10-19 years,3-9 years,67,55,43,31,,35 - 44 years,Male,White or Caucasian,Yes,"Rice, Barley, Oats"
6,Grower,680,57,32,11,0,Butte,,,1,,,,,,,,,,,,,,,,,,3,,Somewhat concerned,Very concerned,Very concerned,Somewhat concerned,Very concerned,Somewhat concerned,Somewhat concerned,Very concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Very concerned,Very concerned,Somewhat concerned,Very concerned,,,,,,"Nutrient Management,Disease Control,Insect Pest Control,Harvest Operations,Labor",,,,,"Irrigation/Water Management,Weed Control,Insect Pest Control,Soil Management",,,,,"Nutrient Management,Disease Control,Insect Pest Control,Soil Management,Harvest Operations,Labor",,,,,,,,,,,,,"Crop Rotation Benefits,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Soil is not suitable for other crops,Supports wildlife habitat",,,,,"Profitability,Stable Markets,Crop Rotation Benefits,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Suitability for saline/alkaline soils,Crop is traditionally grown on my farm",,,,,"Capacity for deficit irrigation or fallowing,Supports wildlife habitat",,,,,,,,,Often,Often,Always,Always,Always,Sometimes,Sometimes,Often,Often,Sometimes,Always,Often,Often,,"Commodity Boards,Other Growers,State or County Farm Bureau,Family members",1-2 times/month,3-6 times per year,3-6 times per year,1-3 times/week,1-3 times/week,Very Valuable,Very Valuable,Somewhat Valuable,Somewhat Valuable,Medium Priority,Medium Priority,High Priority,High Priority,Medium Priority,Low Priority,High Priority,High Priority,High Priority,Low Priority,Low Priority,Medium Priority,High Priority,High Priority,High Priority,High Priority,Medium Priority,High Priority,Low Priority,No Opinion,Medium Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,High Satisfaction,Low Satisfaction,Medium Satisfaction,High Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,High Satisfaction,Medium Satisfaction,,"Recommendations on how to manage,Cost of Production Information,Farm Economics,Field Trial Results","Virtual Meetings,Newsletters,Social Media,Fact Sheets,Demonstration Videos","University of California Cooperative Extension websites,Commodity Board websites",10-19 years,20-29 years,71,70,43,57,,35 - 44 years,Male,White or Caucasian,Yes,"Wheat, Grass and Grass Mixtures Pasture"
7,Grower,400,46,28,26,0,Alameda,,1,2,,3,,,,,,,,,,,,,,,,,,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Somewhat concerned,Very concerned,Very concerned,Somewhat concerned,Somewhat concerned,Very concerned,Very concerned,Somewhat concerned,,,,"Irrigation/Water Management,Disease Control,Soil Management,Labor,Other:",,"Nutrient Management,Weed Control,Insect Pest Control,Harvest Operations",,"Soil Management,Other:",,,,,,,,,,,,,,,,,,,"Crop Rotation Benefits,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Suitability for saline/alkaline soils,Crop is traditionally grown on my farm,Other",,"Profitability,Stable Markets,Capacity for deficit irrigation or fallowing,Soil is not suitable for other crops,Suitability for saline/alkaline soils",,"Capacity for deficit irrigation or fallowing,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Suitability for saline/alkaline soils,Supports wildlife habitat,Crop is traditionally grown on my farm",,,,,,,,,,,,,,,,,Often,Rarely,Rarely,Often,Often,Often,Often,Always,Often,Sometimes,Sometimes,Sometimes,Often,,"Industry,Commodity Boards,Pesticide Control Advisor,County Agricultural Commissioner",1-2 times/month,1-3 times/week,3-6 times per year,1-2 times/year,3-6 times per year,Somewhat Valuable,Very Valuable,Somewhat Valuable,Somewhat Valuable,Medium Priority,High Priority,High Priority,Medium Priority,High Priority,Medium Priority,High Priority,High Priority,High Priority,Medium Priority,Medium Priority,Medium Priority,Medium Priority,High Priority,Medium Priority,High Priority,Medium Priority,Medium Priority,High Priority,,Medium Satisfaction,Medium Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,Low Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,No Opinion,"Recommendations on how to manage,Farm Economics,Field Trial Results","Webinars,Virtual Meetings,Radio/Podcast,Fact Sheets",UC Blogs,10-19 years,10-19 years,78,69,82,63,NA,45 - 54 years,Male,White or Caucasian,Yes,"Rice, Wheat, Barley"
8,Grower,1350,75,0,0,25,"Colusa,Glenn",,1,,,,,,,,,,,,,,,,,,,,,Somewhat concerned,Somewhat concerned,Somewhat concerned,Very concerned,Somewhat concerned,Not  concerned,Very concerned,Somewhat concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Somewhat concerned,Not  concerned,,,,"Irrigation/Water Management,Nutrient Management,Disease Control,Weed Control,Insect Pest Control,Labor",,,,,,,,,,,,,,,,,,,,,,,"Profitability,Soil is not suitable for other crops,Other",,,,,,,,,,,,,,,,,,,,,Always,Often,Always,Sometimes,Often,Always,Sometimes,Often,Rarely,Rarely,Always,Always,Always,Always,"Industry,Other Growers,Certified Crop Advisor,UC Cooperative Extension,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),Family members,Field crew,County Agricultural Commissioner,Other (please specify):",3-6 times per year,1-2 times/month,3-6 times per year,1-3 times/week,Never,Not Valuable,Somewhat Valuable,Somewhat Valuable,Very Valuable,Low Priority,Low Priority,Medium Priority,Low Priority,Low Priority,Low Priority,High Priority,High Priority,High Priority,Low Priority,Medium Priority,High Priority,High Priority,Medium Priority,Low Priority,High Priority,Medium Priority,Low Priority,No Opinion,High Priority,No Opinion,No Opinion,No Opinion,No Opinion,No Opinion,No Opinion,High Satisfaction,High Satisfaction,High Satisfaction,No Opinion,Low Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,No Opinion,High Satisfaction,No Opinion,Medium Satisfaction,No Opinion,,"Decision Support Tools,Cost of Production Information,Farm Economics,Field Trial Results,Regulatory updates","Internet (websites),Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings)","University of California Cooperative Extension websites,I don't look for field crop production information on the internet",30+ years,30+ years,93,100,38,62,Having a Rice Advisor in Colusa County Again. The top rice producing county in California !,75 years and over,Male,White or Caucasian,No,Rice
9,Grower,1600,56,41,3,0,Del Norte,,,,,,,,,2,,,,,,1,,,,,,3,,Somewhat concerned,Very concerned,Very concerned,Somewhat concerned,Somewhat concerned,Very concerned,Somewhat concerned,Somewhat concerned,Very concerned,Somewhat concerned,Very concerned,Somewhat concerned,Very concerned,Very concerned,Somewhat concerned,,,,,,,,,,,,"Irrigation/Water Management,Nutrient Management,Weed Control,Soil Management,Harvest Operations,Labor",,,,"Irrigation/Water Management,Disease Control,Weed Control,Insect Pest Control,Soil Management,Labor",,"Irrigation/Water Management,Nutrient Management,Disease Control,Insect Pest Control,Soil Management,Labor",,,,,,,,,,,,,,,,,"Stable Markets,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Soil is not suitable for other crops,Supports wildlife habitat,Crop is traditionally grown on my farm",,,,"Profitability,Stable Markets,Crop Rotation Benefits,Suitability for saline/alkaline soils,Crop is traditionally grown on my farm",,"Stable Markets,Crop Rotation Benefits,Capacity for deficit irrigation or fallowing,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Soil is not suitable for other crops,Supports wildlife habitat,Crop is traditionally grown on my farm",,,,,,,Often,Often,Always,Sometimes,Often,Always,Often,Often,Always,Sometimes,Always,Always,Often,,"Commodity Boards,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,NRCS,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),Family members",1-3 times/week,1-3 times/week,1-2 times/month,3-6 times per year,1-3 times/week,Somewhat Valuable,Very Valuable,Very Valuable,Somewhat Valuable,High Priority,Medium Priority,Low Priority,Low Priority,High Priority,High Priority,High Priority,Medium Priority,High Priority,Medium Priority,,High Priority,High Priority,High Priority,Low Priority,Medium Priority,High Priority,High Priority,Medium Priority,,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,Low Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,,"Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Farm Economics","Blogs,Webinars,Virtual Meetings,Newsletters,UC Cooperative Extension Magazine Articles,Radio/Podcast,Social Media,Interactive Web Tools,Demonstration Videos,Two or three day destination meetings","University of California Cooperative Extension websites,UC Blogs",3-9 years,10-19 years,69,81,63,76,,45 - 54 years,Female,White or Caucasian,Yes,"Corn Silage, Mixed Hay, Grass and Grass Mixtures Pasture"
10,Grower,60,47,23,30,0,Marin,,,2,,,,,1,,,,,,,,,,,,,,3,Very concerned,Very concerned,Somewhat concerned,Very concerned,Very concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Not  concerned,Very concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Very concerned,Very concerned,,,,,"Irrigation/Water Management,Nutrient Management,Disease Control,Weed Control,Insect Pest Control,Soil Management,Harvest Operations,Labor","Weed Control,Insect Pest Control,Harvest Operations,Labor",,,,"Weed Control,Insect Pest Control,Harvest Operations,Labor",,,,,,,,,,,,,,,,,,"Profitability,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Soil is not suitable for other crops,Supports wildlife habitat","Stable Markets,Crop Rotation Benefits",,,,"Stable Markets,Crop Rotation Benefits,Capacity for deficit irrigation or fallowing,Suitability for saline/alkaline soils,Crop is traditionally grown on my farm",,,,,,,,,,,,,,,Sometimes,Rarely,Sometimes,Often,Sometimes,Sometimes,Rarely,Sometimes,Always,Sometimes,Sometimes,Rarely,Sometimes,,"Industry,Other Growers,Resource Conservation Districts",1-2 times/year,1-2 times/month,1-3 times/week,1-2 times/month,3-6 times per year,Somewhat Valuable,Not Valuable,Not Valuable,Somewhat Valuable,Medium Priority,Low Priority,Medium Priority,Low Priority,Medium Priority,Low Priority,Low Priority,Medium Priority,High Priority,Medium Priority,Medium Priority,Low Priority,Medium Priority,Low Priority,Low Priority,Medium Priority,Low Priority,Medium Priority,High Priority,,Low Satisfaction,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,,"Farm Economics,Field Trial Results","Internet (websites),UC Cooperative Extension Magazine Articles,Radio/Podcast,Social Media","UC Blogs,Facebook",20-29 years,10-19 years,100,60,40,54,,45 - 54 years,Male,White or Caucasian,Yes,"Wheat, Corn, Wild Rice"
