"","Primary_Vocation","Acres","Percentage_Field_Crops","Percentage_Vegetable_Crops","Percentage_Tree_and_Vine_Crops","Percentage_Other","County","Alfalfa_Rank","Rice_Rank","Wheat_Rank","Triticale_Rank","Barley_Rank","Oats_Rank","Cotton_Rank","Corn_Rank","Corn_Silage_Rank","Small_Grain_Silage_Rank","Small_Grain_Hay_Rank","Grass_and_Grass_Mixtures_Hay_Rank","Sorghum_Rank","Sorghum_Sudangrass_Sudan_Rank","Dry_Beans_Rank","Mixed_Hay_Rank","Sunflower_Rank","Oilseeds_Rank","Sugar_Beets_Rank","Hemp_Rank","Other_Rank","Grass_and_Grass_Mixtures_Rank","Wild_Rice_Rank","Concern_Commodity_Price_of_Crops","Concern_Market_Access","Concern_Consumer_Demand","Concern_Input_Costs","Concern_Water_Costs","Concern_Land_Tenure","Concern_Water_Quality_and_Availability","Concern_Labor_Quality_and_Availability","Concern_Water_Regulations_Quantity","Concern_Water_Regulations_Quality","Concern_Labor_Regulations","Concern_Chemical_Regulations","Concern_Air_Quality","Concern_Changing_Weather_and_Climate","Concern_Soil_Degradation","Concern_Other","Alfalfa_Concerns","Cotton_Concerns","Rice_Concerns","Wild_Rice_Concerns","Wheat_Concerns","Triticale_Concerns","Barley_Concerns","Oats_Concerns","Corn_Concerns","Sorghum_Concerns","Corn_Silage_Concerns","Small_Grain_Silage_Concerns","Small_Grain_Hay_Concerns","Grass_and_Grass_Mixtures_Hay_Concerns","Grass_and_Grass_Mixtures_Pasture_Concerns","Sorghum_Sudangrass_Sudan_Concerns","Mixed_Hay_Concerns","Dry_Beans_Concerns","Sunflower_Concerns","Oilseeds_Concerns","Sugar_Beets_Concerns","Hemp_Concerns","Other_Concerns","Affected_Crop_Production_Profitability","Affected_Crop_Production_Crop_Yield","Affected_Crop_Production_Crop_Quality","Affected_Crop_Production_Input_Costs","Affected_Crop_Production_Soil_Fertility","Affected_Crop_Production_Land_Stewardship","Affected_Crop_Production_Natural_Resource_Conservation","Affected_Crop_Production_Meeting_Government_Regulations","Affected_Crop_Production_Labor_Required","Affected_Crop_Production_Ease_of_Implementation","Affected_Crop_Production_Certainty_in_Management_Practice","Affected_Crop_Production_Availability_of_Outreach_Information","Affected_Crop_Production_Water_Availability","Affected_Crop_Production_Other","Information_Sources","UCCE_Engagement_Attend_Field_Day","UCCE_Engagement_Read_Blog","UCCE_Engagement_Call_Advisor","UCCE_Engagement_Read_Newsletter","UCCE_Engagement_Interact_with_Social_Media","Amount_Valued_Continuing_Education_Credits","Amount_Valued_On_Farm_Consultations","Amount_Valued_Crop_Injury_Diagnosis","Amount_Valued_On_Farm_Trials","Priority_Irrigation_Management","Priority_Water_Conservation_and_Storage","Priority_Nutrient_Management","Priority_Salinity_Management","Priority_Soil_Health_Management","Priority_Cover_Crops","Priority_Weed_Control","Priority_Insect_Pest_Control","Priority_Disease_Control","Priority_Manure_Management","Priority_Compost_Management","Priority_Crop_Establishment","Priority_Variety_Testing","Priority_Harvest_and_Postharvest","Priority_Emerging_Crops","Priority_Testing_New_Products","Priority_Niche_Marketing_Field_Crops","Priority_Greenhouse_Gas_Emissions_Reduction","Priority_Organic_Production","Priority_Other","Satisfaction_Irrigation_Management","Satisfaction_Water_Conservation_and_Storage","Satisfaction_Nutrient_Management","Satisfaction_Salinity_Management","Satisfaction_Soil_Health_Management","Satisfaction_Cover_Crops","Satisfaction_Weed_Control","Satisfaction_Insect_Pest_Control","Satisfaction_Disease_Control","Satisfaction_Manure_Management","Satisfaction_Compost_Management","Satisfaction_Crop_Establishment","Satisfaction_Variety_Testing","Satisfaction_Harvest_and_Postharvest","Satisfaction_Emerging_Crops","Satisfaction_Testing_New_Products","Satisfaction_Niche_Marketing_Field_Crops","Satisfaction_Greenhouse_Gas_Emissions_Reduction","Satisfaction_Organic_Production","Satisfaction_Other","UCCE_Information_Types_Requested","UCCE_Information_Preferred_Contact","Internet_Information_Sources","Total_Years_in_Crop_Production","Total_Years_in_Consulting_Field_Crops","Percentage_Income_Agriculture","Percentage_of_Total_Irrigated_Acres","Percentage_of_Acres_Leased","Percentage_of_Acres_Owned","Proposed_Ideas","Age_Range","Gender","Race_Ethnicity","Gift_Card","Crops","Region"
"1","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","500","33","36","31","0","Alpine",NA,"1","2",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very concerned","Not  concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Not  concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned",NA,NA,NA,"Nutrient Management,Harvest Operations,Other:",NA,"Irrigation/Water Management,Disease Control,Weed Control,Soil Management,Labor",NA,NA,"Weed Control,Insect Pest Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often","Sometimes","Rarely","Sometimes","Rarely","Often","Always","Sometimes","Never","Sometimes","Sometimes","Rarely","Rarely",NA,"Commodity Boards,Pesticide Control Advisor","1-2 times/year","1-2 times/year","1-2 times/month","3-6 times per year","Never","Somewhat Valuable","Very Valuable","Not Valuable",NA,"Low Priority","Low Priority","High Priority","Medium Priority","Medium Priority","No Opinion","Low Priority","Low Priority","Low Priority","No Opinion","Low Priority","High Priority","Medium Priority","Low Priority","Medium Priority","High Priority","Medium Priority","Low Priority","Low Priority",NA,"Medium Satisfaction","High Satisfaction","Low Satisfaction","No Opinion","Low Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Low Satisfaction","No Opinion","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Low Satisfaction","Medium Satisfaction","No Opinion",NA,"Recommendations on how to manage,Cost of Production Information,Field Trial Results","Blogs,Virtual Meetings,Fact Sheets,Demonstration Videos","UC Blogs,Commodity Board websites",NA,"10-19 years","33","57","31","54",NA,"35 - 44 years","Male","White or Caucasian","Yes","Rice, Wheat, Oats","Sierra_Nevada, Sierra_Nevada"
"2","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","420","30","40","30","0","Alameda",NA,NA,"1",NA,NA,NA,NA,"2",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned",NA,NA,NA,NA,NA,"Irrigation/Water Management,Nutrient Management,Weed Control,Soil Management,Labor",NA,NA,NA,"Irrigation/Water Management,Disease Control,Weed Control,Soil Management,Harvest Operations,Labor",NA,NA,NA,"Nutrient Management,Weed Control,Insect Pest Control,Soil Management,Labor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often","Sometimes","Sometimes","Often","Sometimes","Often","Often","Sometimes","Sometimes","Often","Often","Sometimes","Sometimes","Sometimes","Industry,Other Growers,Pesticide Control Advisor,State or County Farm Bureau,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),County Agricultural Commissioner","1-2 times/year","3-6 times per year","1-2 times/year","1-2 times/month","1-2 times/month","Somewhat Valuable","Very Valuable","Very Valuable","Very Valuable","Medium Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","High Priority","High Priority",NA,"High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","Low Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction",NA,"Recommendations on how to manage,Farm Economics,Field Trial Results","Webinars,Newsletters,Interactive Web Tools","UC Blogs,Commodity Board websites,Facebook",NA,"10-19 years","35","35","53","65","NA","45 - 54 years","Male","White or Caucasian","Yes","Wheat, Corn, Small Grain Hay","Coastal, Coastal"
"3","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","440","30","53","17","0","San Francisco",NA,NA,"3",NA,"2",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned",NA,NA,NA,NA,NA,"Irrigation/Water Management,Nutrient Management,Disease Control,Weed Control,Insect Pest Control,Soil Management,Labor",NA,"Irrigation/Water Management,Nutrient Management,Weed Control,Insect Pest Control,Harvest Operations",NA,"Nutrient Management,Weed Control,Soil Management,Labor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes","Always","Sometimes","Often","Sometimes","Often","Always","Often","Often","Sometimes","Often","Sometimes","Often","Sometimes","Industry,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,UC Cooperative Extension,County Agricultural Commissioner","1-2 times/year","3-6 times per year","1-2 times/year","1-2 times/month","3-6 times per year","Somewhat Valuable","Very Valuable","Somewhat Valuable","Very Valuable","Medium Priority","High Priority","Medium Priority","Low Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","Low Priority","Medium Priority","Medium Priority","Low Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","Low Priority","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction",NA,"Decision Support Tools,Farm Economics","Internet (websites),Webinars,UC Cooperative Extension Magazine Articles","UC Blogs,Vendor Websites",NA,"10-19 years","24","18","51","37","NA","45 - 54 years","Male","White or Caucasian","Yes","Wheat, Barley, Corn","Coastal, Coastal"
"4","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","430","30","30","40","0","San Francisco",NA,"2","1",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned",NA,NA,NA,"Irrigation/Water Management,Nutrient Management,Weed Control,Soil Management,Labor",NA,"Nutrient Management,Disease Control,Weed Control,Insect Pest Control,Harvest Operations,Labor",NA,NA,NA,"Irrigation/Water Management,Disease Control,Weed Control,Soil Management,Harvest Operations,Labor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often","Always","Often","Often","Often","Always","Often","Sometimes","Often","Often","Sometimes","Often","Sometimes",NA,"Industry,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,Resource Conservation Districts,County Agricultural Commissioner","1-2 times/year","3-6 times per year","1-2 times/month","3-6 times per year","1-2 times/month","Somewhat Valuable","Very Valuable","Somewhat Valuable","Somewhat Valuable","High Priority","Medium Priority","High Priority","High Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","High Priority","High Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","High Priority","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction",NA,"Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction",NA,"Recommendations on how to manage,Farm Economics","Webinars,UC Cooperative Extension Magazine Articles,Social Media","UC Blogs,Vendor Websites",NA,"10-19 years","35","25","52","40","NA","35 - 44 years","Male","White or Caucasian","Yes","Rice, Wheat, Corn","Coastal, Coastal"
"5","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","445","30","40","30","0","Alameda",NA,NA,"1",NA,"2",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned",NA,NA,NA,NA,NA,"Irrigation/Water Management,Disease Control,Weed Control,Insect Pest Control,Soil Management,Labor",NA,"Irrigation/Water Management,Nutrient Management,Insect Pest Control,Harvest Operations",NA,"Nutrient Management,Disease Control,Insect Pest Control,Labor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often","Always","Often","Always","Often","Always","Often","Always","Often","Often","Always","Always","Often",NA,"Industry,Other Growers,State or County Farm Bureau","1-2 times/year","1-2 times/month","1-2 times/month","1-2 times/month","3-6 times per year","Somewhat Valuable","Very Valuable","Somewhat Valuable","Very Valuable","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","High Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","Low Priority","Medium Priority","High Priority","Medium Priority","High Priority",NA,"High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction",NA,"Recommendations on how to manage,Farm Economics","Internet (websites),Webinars,Virtual Meetings,Social Media","UC Blogs,Vendor Websites",NA,"10-19 years","31","22","52","41","NA","35 - 44 years","Female","White or Caucasian","Yes","Wheat, Barley, Corn","Coastal, Coastal"
"6","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","440","30","45","25","0","Alameda",NA,"1","2",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned",NA,NA,NA,"Irrigation/Water Management,Disease Control,Weed Control,Soil Management,Harvest Operations,Labor",NA,"Nutrient Management,Insect Pest Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Always","Often","Often","Often","Sometimes","Often","Sometimes","Often","Sometimes","Often","Often","Sometimes","Often",NA,"Industry,Other Growers,County Agricultural Commissioner","1-2 times/year","3-6 times per year","1-2 times/month","3-6 times per year","1-2 times/month","Somewhat Valuable","Not Valuable","Somewhat Valuable","Not Valuable","Medium Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","High Priority","High Priority","Medium Priority",NA,"High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction",NA,"Recommendations on how to manage,Farm Economics","Internet (websites),Webinars,Virtual Meetings,Social Media","UC Blogs,Vendor Websites",NA,"10-19 years","34","23","50","35","NA","35 - 44 years","Male","White or Caucasian","Yes","Rice, Wheat, Corn","Coastal, Coastal"
"7","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","1000","52","20","28","0","Calaveras",NA,NA,NA,"1",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Not  concerned",NA,NA,NA,NA,NA,"Irrigation/Water Management,Disease Control,Weed Control,Insect Pest Control,Soil Management,Harvest Operations,Labor",NA,NA,NA,NA,"Irrigation/Water Management,Nutrient Management,Disease Control,Weed Control,Harvest Operations",NA,NA,NA,"Irrigation/Water Management,Nutrient Management,Weed Control,Soil Management,Harvest Operations,Labor",NA,NA,NA,NA,NA,NA,NA,NA,"Often","Always","Sometimes","Sometimes","Often","Always","Often","Always","Always","Sometimes","Sometimes","Often","Always",NA,"Other Growers,Pesticide Control Advisor,Certified Crop Advisor,State or County Farm Bureau,Family members,Field crew","1-2 times/month","1-3 times/week","1-3 times/week","1-2 times/month","1-2 times/month","Somewhat Valuable","Very Valuable","Somewhat Valuable","Very Valuable","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","High Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","Low Priority","High Priority","Low Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","High Priority",NA,"Medium Satisfaction","Low Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Low Satisfaction","High Satisfaction","Low Satisfaction","High Satisfaction",NA,"Low Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","No Opinion","Recommendations on how to manage,Farm Economics,Field Trial Results","Webinars,Newsletters,Interactive Web Tools,Two or three day destination meetings","University of California Cooperative Extension websites,UC Blogs,Commodity Board websites",NA,"10-19 years","55","36","67","77",NA,"45 - 54 years","Male","White or Caucasian","Yes","Triticale, Corn Silage, Grass and Grass Mixtures","Sierra_Nevada, Sierra_Nevada"
"8","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","440","30","43","27","0","Alameda",NA,"2","1",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned",NA,NA,NA,"Irrigation/Water Management,Nutrient Management,Disease Control,Insect Pest Control,Soil Management,Labor",NA,"Nutrient Management,Weed Control,Insect Pest Control,Harvest Operations,Labor",NA,NA,NA,"Irrigation/Water Management,Disease Control,Soil Management,Harvest Operations,Labor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often","Always","Often","Often","Often","Sometimes","Often","Often","Always","Often","Often","Sometimes","Often",NA,"Industry,Other Growers,Certified Crop Advisor,UC Cooperative Extension,Resource Conservation Districts","1-2 times/year","1-2 times/month","3-6 times per year","3-6 times per year","1-2 times/month","Very Valuable","Somewhat Valuable","Somewhat Valuable","Very Valuable","Medium Priority","Medium Priority","High Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","High Priority","High Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority",NA,"Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction",NA,"Decision Support Tools,Farm Economics","Internet (websites),Webinars,Newsletters,Interactive Web Tools","UC Blogs,Vendor Websites",NA,"10-19 years","31","21","42","30","NA","35 - 44 years","Male","White or Caucasian","Yes","Rice, Wheat, Corn","Coastal, Coastal"
"9","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","430","30","46","24","0","San Francisco",NA,NA,"1",NA,"2",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned",NA,NA,NA,NA,NA,"Irrigation/Water Management,Nutrient Management,Weed Control,Insect Pest Control,Harvest Operations,Labor",NA,"Nutrient Management,Disease Control,Soil Management,Labor",NA,"Irrigation/Water Management,Nutrient Management,Disease Control,Insect Pest Control,Harvest Operations,Labor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often","Always","Often",NA,"Often","Sometimes","Often","Often","Sometimes","Often","Often","Sometimes","Often",NA,"Industry,Other Growers,State or County Farm Bureau,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)","1-2 times/year","1-2 times/month","1-2 times/month","1-2 times/month","3-6 times per year","Somewhat Valuable","Very Valuable","Somewhat Valuable","Somewhat Valuable","High Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","High Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","Medium Priority",NA,"Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction",NA,"Decision Support Tools,Field Trial Results","Internet (websites),Newsletters,Radio/Podcast,Social Media","UC Blogs,Vendor Websites",NA,"10-19 years","40","28","57","38","NA","35 - 44 years","Female","White or Caucasian","Yes","Wheat, Barley, Corn","Coastal, Coastal"
"10","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","1500","30","55","15","0","Contra Costa",NA,NA,NA,NA,"2",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned",NA,"Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned",NA,NA,NA,NA,NA,NA,NA,"Nutrient Management,Weed Control,Soil Management,Harvest Operations",NA,NA,NA,"Irrigation/Water Management,Nutrient Management,Disease Control,Weed Control,Insect Pest Control,Soil Management,Harvest Operations,Labor",NA,NA,NA,"Irrigation/Water Management,Disease Control,Weed Control,Insect Pest Control,Soil Management,Harvest Operations",NA,NA,NA,NA,NA,NA,NA,NA,"Often","Often","Always","Sometimes","Sometimes","Sometimes","Often","Always","Always","Often","Sometimes","Always","Often",NA,"Commodity Boards,Other Growers,Pesticide Control Advisor,State or County Farm Bureau","1-2 times/month","1-3 times/week","3-6 times per year","1-2 times/month","1-3 times/week","Somewhat Valuable","Very Valuable","Very Valuable","Very Valuable","Medium Priority","Medium Priority","High Priority","High Priority","Low Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority",NA,"High Priority","Medium Priority","Medium Priority","High Priority","High Priority","Medium Priority","High Priority",NA,"Medium Satisfaction","Low Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","Low Satisfaction","High Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction",NA,"Cost of Production Information,Farm Economics,Field Trial Results","Blogs,Webinars,Virtual Meetings,Newsletters,Social Media,Fact Sheets,Interactive Web Tools,Demonstration Videos","UC Blogs",NA,"10-19 years","68","54","73","79",NA,"35 - 44 years","Male","White or Caucasian","Yes","Barley, Corn Silage, Grass and Grass Mixtures","Coastal, Coastal"
