"","Primary_Vocation","County","Concern_Commodity_Price_of_Crops","Concern_Market_Access","Concern_Consumer_Demand","Concern_Input_Costs","Concern_Water_Costs","Concern_Land_Tenure","Concern_Water_Quality_and_Availability","Concern_Labor_Quality_and_Availability","Concern_Water_Regulations_Quantity","Concern_Water_Regulations_Quality","Concern_Labor_Regulations","Concern_Chemical_Regulations","Concern_Air_Quality","Concern_Changing_Weather_and_Climate","Concern_Soil_Degradation","Information_Sources","UCCE_Engagement_Attend_Field_Day","UCCE_Engagement_Read_Blog","UCCE_Engagement_Call_Advisor","UCCE_Engagement_Read_Newsletter","UCCE_Engagement_Interact_with_Social_Media","Priority_Irrigation_Management","Priority_Water_Conservation_and_Storage","Priority_Nutrient_Management","Priority_Salinity_Management","Priority_Soil_Health_Management","Priority_Cover_Crops","Priority_Weed_Control","Priority_Insect_Pest_Control","Priority_Disease_Control","Priority_Manure_Management","Priority_Compost_Management","Priority_Crop_Establishment","Priority_Variety_Testing","Priority_Harvest_and_Postharvest","Priority_Emerging_Crops","Priority_Testing_New_Products","Priority_Niche_Marketing_Field_Crops","Priority_Greenhouse_Gas_Emissions_Reduction","Priority_Organic_Production","Satisfaction_Irrigation_Management","Satisfaction_Water_Conservation_and_Storage","Satisfaction_Nutrient_Management","Satisfaction_Salinity_Management","Satisfaction_Soil_Health_Management","Satisfaction_Cover_Crops","Satisfaction_Weed_Control","Satisfaction_Insect_Pest_Control","Satisfaction_Disease_Control","Satisfaction_Manure_Management","Satisfaction_Compost_Management","Satisfaction_Crop_Establishment","Satisfaction_Variety_Testing","Satisfaction_Harvest_and_Postharvest","Satisfaction_Emerging_Crops","Satisfaction_Testing_New_Products","Satisfaction_Niche_Marketing_Field_Crops","Satisfaction_Greenhouse_Gas_Emissions_Reduction","Satisfaction_Organic_Production","UCCE_Information_Types_Requested","UCCE_Information_Preferred_Contact","Internet_Information_Sources","Age_Range","Gender","Race_Ethnicity","Gift_Card","Region"
"1","Other (please specify):","Fresno,Kern,Madera,Merced,Sacramento,Stanislaus,Tulare,Yolo","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Not  concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Not  concerned","Very concerned","Somewhat concerned","Somewhat concerned","Not  concerned","Somewhat concerned","Industry,Other Growers,UC Cooperative Extension","1-2 times/year","Never","Never","1-2 times/year","Never","Medium Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","High Priority","Low Priority","Medium Priority","Medium Priority","Low Priority","Low Priority","Low Priority","Medium Priority","Low Priority","Medium Priority","High Priority","Low Priority","Low Priority","Medium Priority","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","No Opinion","No Opinion","Medium Satisfaction","No Opinion","Low Satisfaction","No Opinion","No Opinion","No Opinion","No Opinion","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","No Opinion","No Opinion","Medium Satisfaction","Farm Economics,Field Trial Results","Internet (websites),Webinars,In-person meetings (Field Days, Grower Meetings),Fact Sheets","University of California Cooperative Extension websites,Other state's Cooperative Extension websites (specify which universities):,Farmer network or forum (please specify)","55 - 64 years","Male","White or Caucasian","Yes","NSJV, Sac_Valley, NSJV, SSJV"
"2","Other (please specify):","Butte,Colusa,Glenn,Lassen,Mendocino,Napa,Nevada,Placer,Sacramento,San Joaquin,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Yolo ,Yuba","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Industry,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,UC Cooperative Extension,NRCS,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),Family members","1-2 times/year","3-6 times per year","1-2 times/year","3-6 times per year","1-2 times/month","High Priority","High Priority","Medium Priority","Low Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","Low Priority","Low Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Regulatory updates","Internet (websites),Blogs,Webinars,UC Cooperative Extension Magazine Articles,Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Social Media,Fact Sheets,Two or three day destination meetings","University of California Cooperative Extension websites,UC Blogs","35 - 44 years","Female","White or Caucasian","Yes","Sac_Valley, Sac_Valley, NSJV, Coastal, Sierra_Nevada"
"3","Other (please specify):","Butte,Colusa,Glenn,Nevada,Placer,Sacramento,Shasta,Solano,Sutter,Tehama,Yolo ,Yuba","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Not  concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Industry,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,UC Cooperative Extension,NRCS,Family members,Field crew,County Agricultural Commissioner,Other (please specify):","3-6 times per year","3-6 times per year","3-6 times per year","3-6 times per year","1-2 times/year","Medium Priority","Medium Priority","Medium Priority","No Opinion","Medium Priority","Medium Priority","Medium Priority","High Priority","High Priority","No Opinion","Low Priority","High Priority","High Priority","High Priority","Medium Priority","Medium Priority","High Priority","Low Priority","High Priority","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","No Opinion","Medium Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","No Opinion","Medium Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Recommendations on how to manage,Farm Economics,Field Trial Results","Internet (websites),Webinars,Virtual Meetings,Newsletters,UC Cooperative Extension Magazine Articles,Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Books/manuals,Radio/Podcast,Demonstration Videos","University of California Cooperative Extension websites,Commodity Board websites","65 - 74 years","Female","White or Caucasian","Yes","Sac_Valley, Sac_Valley, Sierra_Nevada"
"4","Other (please specify):","Butte,Colusa,Monterey,Napa,Sacramento,San Benito,San Joaquin,San Luis Obispo,Santa Cruz,Solano,Sonoma,Sutter,Yolo ,Yuba","Somewhat concerned","Not  concerned","Not  concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Not  concerned","Not  concerned","Not  concerned","Very concerned","Very concerned","Industry,Other Growers,UC Cooperative Extension,Environmental Groups,Resource Conservation Districts,NRCS,State or County Farm Bureau,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),County Agricultural Commissioner,Non-Profit Organization (please specify),Other (please specify):","1-2 times/year","3-6 times per year","1-2 times/year","1-2 times/year","Never","Medium Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","High Priority","High Priority","High Priority","Medium Priority","Medium Priority","Low Priority","High Priority","High Priority","Medium Priority","Medium Priority","Low Priority","Medium Priority","High Priority","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Cost of Production Information,Field Trial Results","Internet (websites),Virtual Meetings,Newsletters,Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Books/manuals,Fact Sheets,Demonstration Videos","University of California Cooperative Extension websites,Other state's Cooperative Extension websites (specify which universities):,Other (specify)","65 - 74 years","Prefer not to say","Prefer not to say","No","Sac_Valley, Sac_Valley, NSJV, Coastal"
"5","Other (please specify):","San Joaquin","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Industry,Commodity Boards,Other Growers,UC Cooperative Extension,Water Quality Coalition,NRCS,State or County Farm Bureau","1-2 times/year","1-2 times/month","1-2 times/month","1-2 times/month","1-2 times/month","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","High Priority","High Priority","No Opinion","Medium Priority","No Opinion","Medium Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","No Opinion","Medium Priority","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","High Satisfaction","High Satisfaction","High Satisfaction","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","Medium Satisfaction","High Satisfaction","Medium Satisfaction","No Opinion","No Opinion","Farm Economics,Regulatory updates","Blogs,Newsletters,Social Media,Demonstration Videos","University of California Cooperative Extension websites,UC Blogs,Facebook","55 - 64 years","Male","White or Caucasian","No","NSJV, NSJV"
"6","Other (please specify):","Fresno,Imperial,Kern,Kings,Madera,Merced,Riverside,Tulare","Very concerned","Not  concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Not  concerned","Very concerned","Industry,Commodity Boards,Other Growers,Pesticide Control Advisor,UC Cooperative Extension,NRCS,State or County Farm Bureau,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)","1-2 times/year","Never","1-2 times/month","1-2 times/month","Never","High Priority","High Priority","High Priority","High Priority","Medium Priority","Medium Priority","High Priority","High Priority","High Priority","Medium Priority","Low Priority","Medium Priority","High Priority","High Priority","Low Priority","Medium Priority","Low Priority","Medium Priority","Low Priority","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","No Opinion","Medium Satisfaction","High Satisfaction","High Satisfaction","No Opinion","Medium Satisfaction","No Opinion","Medium Satisfaction","No Opinion","Recommendations on how to manage,Cost of Production Information,Farm Economics,Field Trial Results,Regulatory updates","Internet (websites),Webinars,Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Fact Sheets,Interactive Web Tools,""California Agriculture"" Journal","University of California Cooperative Extension websites","65 - 74 years","Male","American Indian or Alaska Native","No","SSJV, NSJV, SSJV, Desert"
"7","Other (please specify):","Imperial","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Not  concerned","Very concerned","Very concerned","Somewhat concerned","Not  concerned","Not  concerned","Other Growers,Pesticide Control Advisor,NRCS,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)","1-2 times/year","1-2 times/year","1-2 times/year","1-2 times/year","Never","High Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","High Priority","Medium Priority","Low Priority","Low Priority","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Cost of Production Information,Field Trial Results","Internet (websites),Newsletters,UC Cooperative Extension Magazine Articles,Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Fact Sheets","University of California Cooperative Extension websites,Other state's Cooperative Extension websites (specify which universities):,Farmer network or forum (please specify),Vendor Websites","75 years and over","Male","White or Caucasian","No","Desert, Desert"
"8","Other (please specify):",NA,"Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Not  concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Industry,Commodity Boards,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,UC Cooperative Extension","1-2 times/year","1-2 times/month","1-2 times/year","3-6 times per year","Never","High Priority","High Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","High Priority","High Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","Low Priority","High Priority","Medium Priority","Medium Priority","High Satisfaction","Low Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Field Trial Results,Regulatory updates","Internet (websites),Blogs,Newsletters,UC Cooperative Extension Magazine Articles,In-person meetings (Field Days, Grower Meetings),Books/manuals,Fact Sheets,""California Agriculture"" Journal","University of California Cooperative Extension websites,UC Blogs","65 - 74 years","Male","White or Caucasian","No",""
"9","Other (please specify):","Kings","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Industry,Other Growers,UC Cooperative Extension,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)","1-2 times/year","Never","1-2 times/year","1-2 times/year","Never","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","Low Priority","High Priority","High Priority","High Priority","Low Priority","Low Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","High Priority","High Priority","Low Priority","Low Priority","High Satisfaction","No Opinion","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","No Opinion","No Opinion","No Opinion","Low Satisfaction","No Opinion","No Opinion","Low Satisfaction","No Opinion","No Opinion","No Opinion","Recommendations on how to manage,Cost of Production Information,Field Trial Results","Internet (websites),Webinars,Newsletters,In-person meetings (Field Days, Grower Meetings)","University of California Cooperative Extension websites","35 - 44 years","Female","White or Caucasian","No","SSJV, SSJV"
"10","Other (please specify):","Sacramento","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Not  concerned","Not  concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Other Growers,UC Cooperative Extension,NRCS,County Agricultural Commissioner","1-2 times/year","3-6 times per year","1-2 times/year","3-6 times per year","3-6 times per year","Medium Priority","Medium Priority","Low Priority","Low Priority","High Priority","High Priority","Low Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","High Priority","High Priority","High Priority","No Opinion","No Opinion","No Opinion","No Opinion","Medium Satisfaction","Medium Satisfaction","No Opinion","Medium Satisfaction","Medium Satisfaction","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","Low Satisfaction","No Opinion","No Opinion","Medium Satisfaction","Medium Satisfaction","Recommendations on how to manage,Cost of Production Information","Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Radio/Podcast,Two or three day destination meetings","University of California Cooperative Extension websites,Farmer network or forum (please specify),Instagram","65 - 74 years","Female","White or Caucasian","Yes","Sac_Valley, Sac_Valley"
