"","Question"
"Q0","Do you grow, consult on, or work in allied industry of field crops (ex. alfalfa, small grains, hay, grazed pasture, silage, rice, corn, cotton, sorghum, sunflower, beans, oilseeds, etc.) in the state of California?"
"Q1","What is your primary vocation (defined as taking up 75% or more of your time)? 
**please answer the rest of the questions on this survey as they relate to your primary vocation - Selected Choice"
"Q1_5_TEXT","What is your primary vocation (defined as taking up 75% or more of your time)? 
**please answer the rest of the questions on this survey as they relate to your primary vocation - Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify): - Text"
"Q1_6_TEXT","What is your primary vocation (defined as taking up 75% or more of your time)? 
**please answer the rest of the questions on this survey as they relate to your primary vocation - Other (please specify): - Text"
"Q2","How many acres do you manage annually (give an estimate)?"
"Q2c","How many acres do you consult on annually (give an estimate)?"
"Q3_1","Of these acres, in a given year estimate approximately what percentage are in the following categories? - Field Crops (ex. alfalfa, small grains, hay, grazed pasture, silage, rice, corn, cotton, sorghum, sunflower, beans, oilseeds, etc.)"
"Q3_2","Of these acres, in a given year estimate approximately what percentage are in the following categories? - Vegetable Crops (ex. processing tomatoes, fresh vegetables - lettuce, melons, onions; vegetable seed production)"
"Q3_3","Of these acres, in a given year estimate approximately what percentage are in the following categories? - Tree and Vine Crops (ex. almonds, walnuts, pistachio, grapes, fresh fruit trees)"
"Q3_9","Of these acres, in a given year estimate approximately what percentage are in the following categories? - Other (please specify):"
"Q3_9_TEXT","Of these acres, in a given year estimate approximately what percentage are in the following categories? - Other (please specify): - Text"
"Q3c_1","In a given year, approximately what percentage of your time is dedicated to consulting in the following categories? - Field Crops (ex. alfalfa, small grains, hay, grazed pasture, silage, rice, corn, cotton, sorghum, sunflower, beans, oilseeds, etc.)"
"Q3c_2","In a given year, approximately what percentage of your time is dedicated to consulting in the following categories? - Vegetable Crops (ex. processing tomatoes, fresh vegetables - lettuce, melons, onions; vegetable seed production)"
"Q3c_3","In a given year, approximately what percentage of your time is dedicated to consulting in the following categories? - Tree and Vine Crops (ex. almonds, walnuts, pistachio, grapes, fresh fruit trees)"
"Q3c_9","In a given year, approximately what percentage of your time is dedicated to consulting in the following categories? - Other (please specify):"
"Q3c_9_TEXT","In a given year, approximately what percentage of your time is dedicated to consulting in the following categories? - Other (please specify): - Text"
"Q4","What county, or counties, do you operate in? (Select all that apply)"
"Q5_1","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Alfalfa"
"Q5_7","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Cotton"
"Q5_2","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain - Rice"
"Q5_24","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain - Wild Rice"
"Q5_3","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain - Wheat"
"Q5_4","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain - Triticale"
"Q5_5","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain-Barley"
"Q5_6","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain-Oats"
"Q5_8","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain-Corn"
"Q5_13","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain-Sorghum"
"Q5_9","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Forage - Corn (silage)"
"Q5_10","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Forage - Small Grain (silage)"
"Q5_11","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Forage - Small Grain (hay)"
"Q5_12","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Forage - grass and grass mixtures (hay)"
"Q5_23","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Forage - grass and grass mixtures (pasture)"
"Q5_14","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Forage - Sorghum, Sudangrass, or Sudan types"
"Q5_16","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Forage - Mixed (hay)"
"Q5_15","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Dry Beans"
"Q5_17","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Sunflower (seed)"
"Q5_18","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Oilseeds (ex. canola, camelina, safflower)"
"Q5_19","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Sugar beets (sugar, ethanol, or animal feed)"
"Q5_21","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Hemp"
"Q5_22","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Other (please specify)"
"Q5_22_TEXT","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Other (please specify) - Text"
"Q5c_1","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Alfalfa"
"Q5c_7","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Cotton"
"Q5c_2","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain - Rice"
"Q5c_24","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain - Wild Rice"
"Q5c_3","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain - Wheat"
"Q5c_4","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain - Triticale"
"Q5c_5","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain-Barley"
"Q5c_6","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain-Oats"
"Q5c_8","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain-Corn"
